X,y
0.784,0.8488
0.78599995,0.8502
0.788,0.8516
0.78999996,0.853
0.792,0.8544
0.79399997,0.8558
0.796,0.8572
0.798,0.85859996
0.8,0.86
0.802,0.8614
0.804,0.8628
0.806,0.8642
0.808,0.86560005
0.81,0.867
0.81200004,0.86840004
0.814,0.86980003
0.816,0.87119997
0.81799996,0.87259996
0.82,0.874
0.82199997,0.8754
0.824,0.8768
0.826,0.8782
0.828,0.8796
0.83,0.881
0.832,0.88240004
0.834,0.88379997
0.836,0.8852
0.838,0.8866
0.84000003,0.888
0.842,0.8894
0.84400004,0.89080006
0.846,0.8922
0.848,0.8936
0.84999996,0.895
0.852,0.8964
0.854,0.89779997
0.856,0.8992
0.858,0.9006
0.86,0.902
0.862,0.9034
0.864,0.9048
0.866,0.9062
0.86800003,0.90760005
0.87,0.909
0.87200004,0.91040003
0.874,0.9118
0.87600005,0.9132
0.878,0.9146
0.88,0.916
0.88199997,0.9174
0.884,0.9188
0.886,0.9202
0.888,0.9216
0.89,0.923
0.892,0.92440003
0.894,0.9258
0.896,0.9272
0.898,0.9286
0.90000004,0.93
0.902,0.9314
0.90400004,0.93280005
0.906,0.9342
0.90800005,0.93560004
0.91,0.93700004
0.912,0.93840003
0.914,0.93979996
0.916,0.9412
0.918,0.9426
0.92,0.944
0.922,0.9454
0.924,0.9468
0.926,0.9482
0.928,0.9496
0.92999995,0.951
0.932,0.95239997
0.93399996,0.95379996
0.936,0.9552
0.93799996,0.95659995
0.94,0.958
0.942,0.9594
0.944,0.9608
0.946,0.9622
0.948,0.96360004
0.95,0.965
0.952,0.9664
0.954,0.9678
0.95600003,0.9692
0.958,0.9706
0.96,0.972
0.96199995,0.9734
0.964,0.9748
0.96599996,0.9762
0.968,0.9776
0.96999997,0.979
0.972,0.9804
0.974,0.98179996
0.976,0.9832
0.978,0.9846
0.98,0.986
0.982,0.9874
0.984,0.98880005
0.986,0.9902
0.98800004,0.99160004
0.99,0.99300003
0.992,0.99439996
0.994,0.9958
0.996,0.9972
0.998,0.9986
